inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
S-2,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0,E-0
E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,E-1,A-P'-P,E-1,E-1,E-1,E-1,E-1,E-1,E-1
E-2,S-4,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2,E-2
E-3,E-3,E-3,S-11,S-10,S-14,E-3,E-3,S-9,E-3,E-3,E-3,E-3,E-3,S-12,E-3,E-3,E-3,E-3,E-3,E-3,E-3,E-3
E-4,E-4,S-17,E-4,E-4,E-4,E-4,E-4,E-4,S-19,S-21,S-20,E-4,E-4,E-4,E-4,E-4,E-4,E-4,E-4,E-4,E-4,E-4
E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,E-5,R-2-P-inicio V A,E-5,E-5,E-5,E-5,E-5,E-5,E-5
E-6,E-6,E-6,S-11,S-10,S-14,E-6,E-6,S-9,E-6,E-6,E-6,E-6,E-6,S-12,E-6,E-6,E-6,E-6,E-6,E-6,E-6,E-6
E-7,E-7,E-7,S-11,S-10,S-14,E-7,E-7,S-9,E-7,E-7,E-7,E-7,E-7,S-12,E-7,E-7,E-7,E-7,E-7,E-7,E-7,E-7
E-8,E-8,E-8,S-11,S-10,S-14,E-8,E-8,S-9,E-8,E-8,E-8,E-8,E-8,S-12,E-8,E-8,E-8,E-8,E-8,E-8,E-8,E-8
E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,E-9,R-32-A-fim,E-9,E-9,E-9,E-9,E-9,E-9,E-9
E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10,S-25,E-10,E-10,E-10,E-10,E-10,E-10,E-10,E-10
E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11,S-28,S-27,S-29,E-11,E-11,E-11,E-11,E-11,E-11,E-11,E-11
E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,E-12,S-30,E-12,E-12,E-12,E-12,E-12
E-13,E-13,E-13,S-11,S-10,S-14,E-13,S-35,E-13,E-13,E-13,E-13,E-13,E-13,S-12,E-13,E-13,E-13,E-13,E-13,E-13,E-13,E-13
E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,E-14,S-36,E-14,E-14,E-14
E-15,E-15,E-15,R-3-V-varinicio LV,R-3-V-varinicio LV,R-3-V-varinicio LV,E-15,E-15,R-3-V-varinicio LV,E-15,E-15,E-15,E-15,E-15,R-3-V-varinicio LV,E-15,E-15,E-15,E-15,E-15,E-15,E-15,E-15
E-16,E-16,S-17,E-16,E-16,E-16,E-16,E-16,E-16,S-19,S-21,S-20,E-16,E-16,E-16,E-16,E-16,E-16,E-16,E-16,E-16,E-16,E-16
E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,E-17,S-39,E-17
E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18,S-37,E-18,E-18,E-18,E-18,E-18,E-18,E-18,E-18
E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19,R-9-TIPO-inteiro,E-19,E-19,E-19,E-19,E-19,E-19,E-19,E-19
E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20,R-10-TIPO-real,E-20,E-20,E-20,E-20,E-20,E-20,E-20,E-20
E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21,R-11-TIPO-literal,E-21,E-21,E-21,E-21,E-21,E-21,E-21,E-21
E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,E-22,R-12-A-ES A,E-22,E-22,E-22,E-22,E-22,E-22,E-22
E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,E-23,R-18-A-CMD A,E-23,E-23,E-23,E-23,E-23,E-23,E-23
E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,E-24,R-24-A-COND A,E-24,E-24,E-24,E-24,E-24,E-24,E-24
E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,E-25,S-41,E-25
E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,E-26,S-42,E-26
